id,compile
0,0
1,0
10,0
100,0
1000,1
1001,1
1002,0
1003,1
1004,0
1005,0
1006,0
1007,0
1008,0
1009,0
101,0
1010,0
1011,0
1012,0
1013,0
1014,0
1015,0
1016,1
1017,0
1018,0
1019,0
102,0
1020,0
1021,0
1022,0
1023,1
1024,1
1025,1
1026,1
1027,1
1028,1
1029,0
103,0
1030,0
1031,0
1032,0
1033,1
1034,0
1035,0
1036,0
1037,0
1038,1
1039,1
104,0
1040,1
1041,1
1042,1
1043,1
1044,0
1045,0
1046,1
1047,0
1048,0
1049,1
105,0
1050,1
1051,1
1052,1
1053,1
1054,0
1055,1
1056,1
1057,1
1058,1
1059,0
106,0
1060,1
1061,1
1062,1
1063,1
1064,1
1065,0
1066,0
1067,0
1068,0
1069,0
107,0
1070,0
1071,0
1072,0
1073,0
1074,0
1075,0
1076,0
1077,1
1078,0
1079,0
108,0
1080,0
1081,0
1082,1
1083,0
1084,0
1085,0
1086,0
1087,1
1088,1
1089,1
109,0
1090,1
1091,1
1092,1
1093,0
1094,0
1095,0
1096,0
1097,0
1098,0
1099,0
11,0
110,0
1100,0
1101,0
1102,0
1103,0
1104,0
1105,1
1106,0
1107,0
1108,0
1109,0
111,0
1110,0
1111,0
1112,0
1113,1
1114,0
1115,0
1116,0
1117,0
1118,1
1119,0
112,0
1120,0
1121,0
1122,1
1123,1
1124,0
1125,1
1126,1
1127,1
1128,0
1129,0
113,0
1130,1
1131,0
1132,0
1133,0
1134,0
1135,1
1136,0
1137,0
1138,1
1139,1
114,0
1140,1
1141,1
1142,1
1143,1
1144,1
1145,0
1146,0
1147,0
1148,0
1149,0
115,0
1150,0
1151,0
1152,0
1153,0
1154,0
1155,1
1156,1
1157,0
1158,0
1159,0
116,0
1160,0
1161,0
1162,1
1163,1
1164,0
1165,0
1166,0
1167,1
1168,1
1169,0
117,0
1170,0
1171,0
1172,1
1173,1
1174,0
1175,1
1176,0
1177,0
1178,0
1179,1
118,0
1180,0
1181,0
1182,0
1183,1
1184,1
1185,0
1186,1
1187,1
1188,0
1189,0
119,1
1190,0
1191,0
1192,1
1193,0
1194,1
1195,1
1196,0
1197,0
1198,0
1199,1
12,0
120,0
1200,1
1201,0
1202,0
1203,0
1204,0
1205,0
1206,0
1207,0
1208,0
1209,0
121,1
1210,0
1211,0
1212,0
1213,0
1214,0
1215,0
1216,0
1217,0
1218,0
1219,1
122,0
1220,1
1221,1
1222,0
1223,1
1224,0
1225,0
1226,1
1227,0
1228,1
1229,0
123,0
1230,0
1231,1
1232,0
1233,0
1234,0
1235,0
1236,1
1237,1
1238,0
1239,0
124,1
1240,0
1241,1
1242,1
1243,0
1244,0
1245,0
1246,0
1247,0
1248,1
1249,0
125,0
1250,0
1251,0
1252,0
1253,1
1254,0
1255,0
1256,0
1257,1
1258,0
1259,0
126,1
1260,0
1261,0
1262,0
1263,0
1264,0
1265,1
1266,0
1267,0
1268,1
1269,0
127,0
1270,0
1271,0
1272,1
1273,1
1274,1
1275,1
1276,1
1277,0
1278,1
1279,0
128,1
1280,0
1281,0
1282,1
1283,1
1284,0
1285,0
1286,1
1287,0
1288,0
1289,0
129,1
1290,0
1291,0
1292,0
1293,1
1294,1
1295,0
1296,0
1297,1
1298,1
1299,0
13,0
130,1
1300,0
1301,1
1302,1
1303,1
1304,1
1305,1
1306,1
1307,1
1308,1
1309,1
131,1
1310,1
1311,0
1312,0
1313,0
1314,1
1315,0
1316,1
1317,1
1318,1
1319,0
132,1
1320,1
1321,0
1322,1
1323,0
1324,1
1325,0
1326,0
1327,1
1328,0
1329,1
133,0
1330,0
1331,1
1332,1
1333,1
1334,1
1335,1
1336,1
1337,0
1338,1
1339,0
134,0
1340,1
1341,1
1342,1
1343,1
1344,0
1345,0
1346,1
1347,1
1348,1
1349,0
135,0
1350,0
1351,1
1352,1
1353,1
1354,1
1355,1
1356,1
1357,1
1358,1
1359,0
136,0
1360,1
1361,1
1362,0
1363,0
1364,0
1365,1
1366,0
1367,0
1368,1
1369,1
137,0
1370,1
1371,0
1372,0
1373,1
1374,1
1375,1
1376,0
1377,0
1378,0
1379,1
138,0
1380,1
1381,1
1382,1
1383,0
1384,0
1385,0
1386,0
1387,0
1388,1
1389,0
