id,compile
0,1
1,0
10,0
100,0
101,0
102,0
103,0
104,0
105,1
106,0
107,0
108,0
109,1
11,1
110,1
111,1
112,1
113,0
114,0
115,1
116,1
117,1
118,1
119,1
12,1
120,1
121,0
122,0
123,0
124,0
125,0
126,0
127,1
128,0
129,0
13,1
130,0
131,0
132,0
133,0
134,0
135,1
136,0
137,0
138,0
139,0
14,1
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
15,1
150,0
151,1
152,0
153,0
154,1
155,0
156,0
157,0
158,0
159,0
16,0
160,0
161,0
162,1
163,0
164,0
165,0
166,0
167,0
168,0
169,0
17,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
18,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
19,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
2,0
20,0
200,1
201,1
202,0
203,1
204,0
205,0
206,0
207,0
208,0
209,0
21,0
210,1
211,1
212,0
213,0
214,0
215,1
216,0
217,0
218,0
219,0
22,1
220,0
221,0
222,1
223,1
224,0
225,0
226,1
227,1
228,1
229,1
23,0
230,1
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
24,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,1
25,0
250,1
251,1
252,1
253,1
254,1
255,1
256,0
257,1
258,1
259,0
26,1
260,0
261,0
262,0
263,1
264,1
265,1
266,0
267,0
268,1
269,0
27,1
270,0
271,0
272,1
273,1
274,1
275,0
276,0
277,0
278,0
279,0
28,0
280,0
281,0
282,0
283,0
284,0
285,1
286,0
287,0
288,0
289,0
29,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
3,0
30,0
300,1
301,0
302,1
303,0
304,0
305,0
306,0
307,0
308,0
309,1
31,0
310,0
311,1
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,1
4,1
40,1
41,1
42,1
43,1
44,0
45,1
46,1
47,0
48,0
49,1
5,0
50,0
51,1
52,0
53,0
54,0
55,0
56,0
57,1
58,0
59,0
6,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
7,0
70,0
71,0
72,0
73,0
74,0
75,1
76,0
77,1
78,1
79,0
8,0
80,0
81,1
82,1
83,1
84,1
85,0
86,1
87,0
88,0
89,0
9,0
90,0
91,0
92,0
93,1
94,1
95,0
96,0
97,0
98,0
99,0
